River,Reach,Station,X,Y,Z
ATATURK,ATATURK-T,7,521896.07,4175019.41,944.56
ATATURK,ATATURK-T,7,521899.28,4175019.42,944.62
ATATURK,ATATURK-T,7,521899.74,4175019.42,944.62
ATATURK,ATATURK-T,7,521899.74,4175019.42,941.6
ATATURK,ATATURK-T,7,521899.74,4175019.42,941.6
ATATURK,ATATURK-T,7,521900.68,4175019.42,941.6
ATATURK,ATATURK-T,7,521903.03,4175019.43,941.6
ATATURK,ATATURK-T,7,521903.03,4175019.43,941.6
ATATURK,ATATURK-T,7,521903.03,4175019.43,944.62
ATATURK,ATATURK-T,7,521903.73,4175019.43,944.62
ATATURK,ATATURK-T,7,521906.08,4175019.44,944.54
ATATURK,ATATURK-T,7,521913.03,4175019.46,944.18
ATATURK,ATATURK-T,7,521918.91,4175019.47,943.95
ATATURK,ATATURK-T,8,521902.26,4175078.72,946.15
ATATURK,ATATURK-T,8,521905.72,4175079.02,945.68
ATATURK,ATATURK-T,8,521909.39,4175079.34,944.86
ATATURK,ATATURK-T,8,521911.8,4175079.54,944.15
ATATURK,ATATURK-T,8,521913,4175079.65,942.8
ATATURK,ATATURK-T,8,521915.56,4175079.87,942.74
ATATURK,ATATURK-T,8,521916.89,4175079.98,942.77
ATATURK,ATATURK-T,8,521917.35,4175080.02,942.74
ATATURK,ATATURK-T,8,521917.35,4175080.02,939.84
ATATURK,ATATURK-T,8,521917.35,4175080.02,939.84
ATATURK,ATATURK-T,8,521918.46,4175080.12,939.84
ATATURK,ATATURK-T,8,521920.66,4175080.31,939.84
ATATURK,ATATURK-T,8,521920.66,4175080.31,939.84
ATATURK,ATATURK-T,8,521920.66,4175080.31,942.83
ATATURK,ATATURK-T,8,521921.01,4175080.34,942.86
ATATURK,ATATURK-T,8,521923.37,4175080.54,942.19
ATATURK,ATATURK-T,8,521928.86,4175081.01,941.83
ATATURK,ATATURK-T,8,521934.75,4175081.52,942.07
ATATURK,ATATURK-T,9,521898.94,4175132.65,947.5
ATATURK,ATATURK-T,9,521902.65,4175132.8,946.33
ATATURK,ATATURK-T,9,521905.6,4175132.92,944.39
ATATURK,ATATURK-T,9,521906.68,4175132.97,941.69
