catalog_row,A,B,C,D,E,F,pathname,selected
27,BUR-AFY-BAS-BASMAKCI,ACIGOL,DEBI,01May2025,30Minute,Q2,/BUR-AFY-BAS-BASMAKCI/ACIGOL/DEBI/01May2025/30Minute/Q2/,False
28,BUR-AFY-BAS-BASMAKCI,ACIGOL,DEBI,01May2025,30Minute,Q25,/BUR-AFY-BAS-BASMAKCI/ACIGOL/DEBI/01May2025/30Minute/Q25/,False
29,BUR-AFY-BAS-BASMAKCI,ACIGOL,DEBI,01May2025,30Minute,Q5,/BUR-AFY-BAS-BASMAKCI/ACIGOL/DEBI/01May2025/30Minute/Q5/,False
30,BUR-AFY-BAS-BASMAKCI,ACIGOL,DEBI,01May2025,30Minute,Q50,/BUR-AFY-BAS-BASMAKCI/ACIGOL/DEBI/01May2025/30Minute/Q50/,False
31,BUR-AFY-BAS-BASMAKCI,ACIGOL,DEBI,01May2025,30Minute,Q500,/BUR-AFY-BAS-BASMAKCI/ACIGOL/DEBI/01May2025/30Minute/Q500/,False
32,BUR-AFY-BAS-BASMAKCI-T1,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-BASMAKCI-T1/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
33,BUR-AFY-BAS-BASMAKCI-T1,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-BASMAKCI-T1/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
34,BUR-AFY-BAS-BASMAKCI-T1,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-BASMAKCI-T1/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
35,BUR-AFY-BAS-BASMAKCI-T1,ACIGOL,DEBI,01May2025,30Minute,Q2,/BUR-AFY-BAS-BASMAKCI-T1/ACIGOL/DEBI/01May2025/30Minute/Q2/,False
36,BUR-AFY-BAS-BASMAKCI-T1,ACIGOL,DEBI,01May2025,30Minute,Q25,/BUR-AFY-BAS-BASMAKCI-T1/ACIGOL/DEBI/01May2025/30Minute/Q25/,False
37,BUR-AFY-BAS-BASMAKCI-T1,ACIGOL,DEBI,01May2025,30Minute,Q5,/BUR-AFY-BAS-BASMAKCI-T1/ACIGOL/DEBI/01May2025/30Minute/Q5/,False
38,BUR-AFY-BAS-BASMAKCI-T1,ACIGOL,DEBI,01May2025,30Minute,Q50,/BUR-AFY-BAS-BASMAKCI-T1/ACIGOL/DEBI/01May2025/30Minute/Q50/,False
39,BUR-AFY-BAS-BASMAKCI-T1,ACIGOL,DEBI,01May2025,30Minute,Q500,/BUR-AFY-BAS-BASMAKCI-T1/ACIGOL/DEBI/01May2025/30Minute/Q500/,False
40,BUR-AFY-BAS-BASMAKCI-T2,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-BASMAKCI-T2/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
41,BUR-AFY-BAS-BASMAKCI-T2,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-BASMAKCI-T2/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
42,BUR-AFY-BAS-BASMAKCI-T2,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-BASMAKCI-T2/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
43,BUR-AFY-BAS-BASMAKCI-T2,ACIGOL,DEBI,01May2025,30Minute,Q2,/BUR-AFY-BAS-BASMAKCI-T2/ACIGOL/DEBI/01May2025/30Minute/Q2/,False
44,BUR-AFY-BAS-BASMAKCI-T2,ACIGOL,DEBI,01May2025,30Minute,Q25,/BUR-AFY-BAS-BASMAKCI-T2/ACIGOL/DEBI/01May2025/30Minute/Q25/,False
45,BUR-AFY-BAS-BASMAKCI-T2,ACIGOL,DEBI,01May2025,30Minute,Q5,/BUR-AFY-BAS-BASMAKCI-T2/ACIGOL/DEBI/01May2025/30Minute/Q5/,False
46,BUR-AFY-BAS-BASMAKCI-T2,ACIGOL,DEBI,01May2025,30Minute,Q50,/BUR-AFY-BAS-BASMAKCI-T2/ACIGOL/DEBI/01May2025/30Minute/Q50/,False
47,BUR-AFY-BAS-BASMAKCI-T2,ACIGOL,DEBI,01May2025,30Minute,Q500,/BUR-AFY-BAS-BASMAKCI-T2/ACIGOL/DEBI/01May2025/30Minute/Q500/,False
48,BUR-AFY-BAS-BASMAKCI-T3,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-BASMAKCI-T3/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
49,BUR-AFY-BAS-BASMAKCI-T3,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-BASMAKCI-T3/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
50,BUR-AFY-BAS-BASMAKCI-T3,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-BASMAKCI-T3/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
51,BUR-AFY-BAS-BASMAKCI-T3,ACIGOL,DEBI,01May2025,30Minute,Q2,/BUR-AFY-BAS-BASMAKCI-T3/ACIGOL/DEBI/01May2025/30Minute/Q2/,False
52,BUR-AFY-BAS-BASMAKCI-T3,ACIGOL,DEBI,01May2025,30Minute,Q25,/BUR-AFY-BAS-BASMAKCI-T3/ACIGOL/DEBI/01May2025/30Minute/Q25/,False
53,BUR-AFY-BAS-BASMAKCI-T3,ACIGOL,DEBI,01May2025,30Minute,Q5,/BUR-AFY-BAS-BASMAKCI-T3/ACIGOL/DEBI/01May2025/30Minute/Q5/,False
54,BUR-AFY-BAS-BASMAKCI-T3,ACIGOL,DEBI,01May2025,30Minute,Q50,/BUR-AFY-BAS-BASMAKCI-T3/ACIGOL/DEBI/01May2025/30Minute/Q50/,False
55,BUR-AFY-BAS-BASMAKCI-T3,ACIGOL,DEBI,01May2025,30Minute,Q500,/BUR-AFY-BAS-BASMAKCI-T3/ACIGOL/DEBI/01May2025/30Minute/Q500/,False
56,BUR-AFY-BAS-BASMAKCI-T4,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-BASMAKCI-T4/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
57,BUR-AFY-BAS-BASMAKCI-T4,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-BASMAKCI-T4/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
58,BUR-AFY-BAS-BASMAKCI-T4,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-BASMAKCI-T4/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
59,BUR-AFY-BAS-BASMAKCI-T4,ACIGOL,DEBI,01May2025,30Minute,Q2,/BUR-AFY-BAS-BASMAKCI-T4/ACIGOL/DEBI/01May2025/30Minute/Q2/,False
60,BUR-AFY-BAS-BASMAKCI-T4,ACIGOL,DEBI,01May2025,30Minute,Q25,/BUR-AFY-BAS-BASMAKCI-T4/ACIGOL/DEBI/01May2025/30Minute/Q25/,False
61,BUR-AFY-BAS-BASMAKCI-T4,ACIGOL,DEBI,01May2025,30Minute,Q5,/BUR-AFY-BAS-BASMAKCI-T4/ACIGOL/DEBI/01May2025/30Minute/Q5/,False
62,BUR-AFY-BAS-BASMAKCI-T4,ACIGOL,DEBI,01May2025,30Minute,Q50,/BUR-AFY-BAS-BASMAKCI-T4/ACIGOL/DEBI/01May2025/30Minute/Q50/,False
63,BUR-AFY-BAS-BASMAKCI-T4,ACIGOL,DEBI,01May2025,30Minute,Q500,/BUR-AFY-BAS-BASMAKCI-T4/ACIGOL/DEBI/01May2025/30Minute/Q500/,False
