segment,from_node,to_node,n_points,length,start_width,end_width,start_side,end_side,start_bed,end_bed,upstream_bc_type,upstream_bc_value,downstream_bc_type,downstream_bc_value,ws_start,ws_end,q_in,q_lateral_in_total,q_spill,q_out,y_avg,sf_avg,hf,h_junc,h_total,profile_mode,start_angle_deg,end_angle_deg
UsProject,Inlet,Junction1,12,10.742003493255543,6.003,6.558,0.0,0.0,634.32,634.298,Known WSE,637.0,,,638.061351829784,638.0778384364305,51.0,0.0,0.0,51.0,3.7492083322507956,0.0005658456308044661,0.006078315742744962,0.0,0.006078315742744962,Mixed,-118.02531604906225,-117.98160623555769
waterway,Junction1,Junction2,1387,1385.5147269733347,6.558,10.206,0.0,0.0,634.298,631.875,,,,,638.6187387428598,637.833001766363,50.95,0.0,0.0,50.95,5.830561411838536,0.000288528844026885,0.3997609625558414,2.112218978659787e-08,0.3997609836780312,Mixed,-161.2751319345142,-90.0
UsExit,Junction1,Outlet,19,17.255123555790277,6.558,5.994,0.0,0.0,634.298,634.262,,,None,,638.093811887943,638.0778384364305,0.05,0.0,0.0,0.0,3.805825179078701,3.7411475649657885e-10,6.455396347392861e-09,2.6527104945337003e-14,6.455422874497806e-09,Mixed,-118.0253160674809,-117.87386594555228
forebay,Junction2,Outlet,39,38.0,10.206,5.005,0.0,0.0,631.875,621.978,,,Spill End,,632.0237293947488,622.0279999999999,1.833518410719606,0.0,1.783518410719606,0.0,0.10842251657807796,0.007573246917085494,0.28778338284924876,0.0,0.28778338284924876,Mixed,-90.0,-90.0
sidechannel,Junction2,Outlet,36,34.930617570561836,10.206,3.82,0.0,0.0,631.5,631.5,,,Spill End,,635.4508607846899,634.0638124682009,49.1164815892804,0.0,49.0664815892804,0.0,3.5271416812828558,0.0011768399181840764,0.04110774512385925,0.00043203947087422286,0.041539784594733474,Mixed,-17.818888906358083,-85.75513794731292
drain,Inlet,Outlet,47,45.36338347785956,2.05,3.2,0.0,0.0,631.5,622.0,Spill Zero,,Known WSE,625.0,632.9921245213304,625.0,0.0,50.85000000000001,0.0,50.85000000000001,2.1936790398379826,0.0023013146498906023,0.1043954189662035,0.0,0.1043954189662035,Mixed,-65.10079947960047,-90.40538788925556
