River,Reach,Station,X,Y,Z
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,3,517789.57,4185807.08,921.98
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,4,517904.41,4185774.29,910.11
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,4,517900.33,4185770.18,910.11
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,4,517896.58,4185766.40,910.23
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,4,517893.82,4185763.61,910.93
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,4,517892.61,4185762.39,909.64
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,4,517890.49,4185760.25,909.61
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,4,517889.98,4185759.74,909.88
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,4,517888.12,4185757.86,911.17
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,4,517885.13,4185754.85,911.05
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,4,517882.82,4185752.52,911.17
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,4,517879.62,4185749.29,910.93
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,4,517877.70,4185747.35,913.40
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,5,517927.21,4185753.07,908.70
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,5,517924.98,4185749.43,908.58
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,5,517922.37,4185745.14,908.35
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,5,517920.97,4185742.85,908.47
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,5,517919.42,4185740.31,908.82
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,5,517918.55,4185738.87,907.88
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,5,517917.63,4185737.36,907.85
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,5,517916.59,4185735.66,908.00
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,5,517916.05,4185734.77,908.58
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,5,517914.21,4185731.77,908.35
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,5,517912.38,4185728.76,908.58
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,5,517910.24,4185725.26,909.17
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,5,517908.32,4185722.09,909.52
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,6,518006.37,4185673.79,902.71
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,6,518001.59,4185670.34,902.71
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,6,517997.48,4185667.37,902.36
