SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type
1,616561.061,3097769.93,6.003,0,634.32,Normal
2,616560.591,3097769.047,6.003,0,634.318,Normal
3,616560.121,3097768.164,6.004,0,634.316,Normal
4,616559.651,3097767.282,6.004,0,634.314,Normal
5,616559.181,3097766.399,6.005,0,634.312,Normal
6,616558.711,3097765.516,6.005,0,634.31,Normal
7,616558.241,3097764.633,6.006,0,634.308,Normal
8,616557.771,3097763.751,6.006,0,634.306,Normal
9,616557.301,3097762.868,6.007,0,634.304,Normal
10,616556.831,3097761.985,6.007,0,634.302,Normal
11,616556.361,3097761.103,6.42,0,634.3,Normal
12,616556.013,3097760.448,6.558,0,634.298,Junction
