SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type
119,616466.682,3097695.149,5.2,0,632.503,Normal
120,616465.683,3097695.102,5.2,0,632.5025,Normal
121,616464.685,3097695.054,5.2,0,632.502,Normal
122,616463.686,3097695.006,5.2,0,632.5015,Normal
123,616462.687,3097694.959,5.2,0,632.501,Normal
124,616461.688,3097694.911,5.2,0,632.5005,Normal
125,616460.689,3097694.864,5.2,0,632.5,Normal
126,616459.69,3097694.816,5.2,0,632.4995,Normal
127,616458.691,3097694.768,5.2,0,632.499,Normal
128,616457.692,3097694.721,5.2,0,632.4985,Normal
129,616456.694,3097694.673,5.2,0,632.498,Normal
130,616455.695,3097694.626,5.2,0,632.4975,Normal
131,616454.696,3097694.578,5.2,0,632.497,Normal
132,616453.697,3097694.53,5.2,0,632.4965,Normal
133,616452.698,3097694.483,5.2,0,632.496,Normal
134,616451.699,3097694.435,5.2,0,632.4955,Normal
135,616450.7,3097694.387,5.2,0,632.495,Normal
136,616449.702,3097694.34,5.2,0,632.4945,Normal
137,616448.703,3097694.292,5.2,0,632.494,Normal
138,616447.704,3097694.245,5.2,0,632.4935,Normal
139,616446.705,3097694.197,5.2,0,632.493,Normal
140,616445.706,3097694.149,5.2,0,632.4925,Normal
141,616444.707,3097694.102,5.2,0,632.492,Normal
142,616443.708,3097694.054,5.2,0,632.4915,Normal
143,616442.71,3097694.006,5.2,0,632.491,Normal
144,616441.711,3097693.959,5.2,0,632.4905,Normal
145,616440.712,3097693.911,5.2,0,632.49,Normal
146,616439.713,3097693.864,5.2,0,632.4895,Normal
147,616438.714,3097693.816,5.2,0,632.489,Normal
148,616437.715,3097693.768,5.2,0,632.4885,Normal
149,616436.716,3097693.721,5.2,0,632.488,Normal
150,616435.717,3097693.673,5.2,0,632.4875,Normal
151,616434.719,3097693.626,5.2,0,632.487,Normal
152,616433.72,3097693.578,5.2,0,632.4865,Normal
153,616432.721,3097693.53,5.2,0,632.486,Normal
154,616431.722,3097693.483,5.2,0,632.4855,Normal
155,616430.723,3097693.435,5.2,0,632.485,Normal
156,616429.724,3097693.387,5.2,0,632.4845,Normal
157,616428.725,3097693.34,5.2,0,632.484,Normal
158,616427.727,3097693.292,5.2,0,632.4835,Normal
159,616426.728,3097693.245,5.2,0,632.483,Normal
160,616425.729,3097693.197,5.2,0,632.4825,Normal
161,616424.73,3097693.149,5.2,0,632.482,Normal
162,616423.731,3097693.102,5.2,0,632.4815,Normal
163,616422.732,3097693.054,5.2,0,632.481,Normal
