label,segment,end,bc_type,bc_value,q_reference,resolved_stage,remarks
Inlet-UsProject,UsProject,start,Known WSE,637.0,51.0,637.0,Master inlet boundary
Outlet-UsExit,UsExit,end,Dead End,637.0,0.05,637.0,Dead End outlet; start from the master WSE and raise the downstream stage until the branch backwater matches the solved junction stage.
Outlet-forebay,forebay,end,Spill End,635.5,33.121714171845284,634.2365570662159,Spill End outlet; start from the master WSE and adjust the downstream stage up or down while spill is relaxed from zero.
Outlet-sidechannel,sidechannel,end,Spill End,635.5,17.82828582815472,634.0052646343048,Spill End outlet; start from the master WSE and adjust the downstream stage up or down while spill is relaxed from zero.
Inlet-drain,drain,start,Spill Zero,,0.0,631.55,Master inlet boundary
Outlet-drain,drain,end,Known WSE,625.0,50.85000000000001,625.0,Master outlet boundary
