segment,sn,chainage,easting,northing,bed_elevation,bed_width,side_slope,section_type,deflection_angle_deg,dx,q_used,lateral_inflow,y_forward,area_forward,perimeter_forward,radius_forward,velocity_forward,ws_forward,eg_forward,sf_forward,froude_forward,specific_force_forward,error_forward,done_forward,valid_forward,critical_default_forward,iterations_forward,local_loss_forward,fallback_forward,y_backward,area_backward,perimeter_backward,radius_backward,velocity_backward,ws_backward,eg_backward,sf_backward,froude_backward,specific_force_backward,error_backward,done_backward,valid_backward,critical_default_backward,iterations_backward,local_loss_backward,fallback_backward,y_final,ws_final,eg_final,sf_final,froude_final,specific_force_final,final_source,regime,spill_crest_left,spill_crest_right,spill_left,spill_right,spill_extra,spill_total,cumulative_spill,cumulative_lateral_inflow,q_after_row
waterway,1,0.0,616556.013,3097760.448,634.298,6.558,0.0,Junction,0.0,0.0,50.95,0.0,1.832422073930502,12.017023960836232,10.222844147861004,1.1755069124623834,4.23981845805145,636.1304220739305,637.0466331115061,0.003260194102711949,1.000000000333097,33.03038996785187,0.0,True,True,True,0,0.0,True,2.7290318663685733,17.896990979645103,12.016063732737146,1.4894221084135626,2.846847274938412,637.0270318663686,637.4401072693668,0.001072063380485951,0.5502060506116331,39.20634287052453,-0.0009468138231341072,True,True,False,32,0.02519465122432381,False,2.7290318663685733,637.0270318663686,637.4401072693668,0.001072063380485951,0.5502060506116331,39.20634287052453,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,50.95
waterway,2,0.9999249972275485,616555.066,3097760.127,634.296,7.191,0.0,Junction,0.05424979390045337,0.9999249972275485,50.95,0.0,1.7232446186244488,12.39185205252841,10.637489237248897,1.1649226406863311,4.111572651450778,636.0192446186245,636.88086692587,0.0031031469396808663,0.9999999988007161,32.03128849524539,0.0,True,True,True,0,0.0,True,2.787813977858904,20.04717031478338,12.766627955717809,1.5702791985729343,2.5415058185258177,637.083813977859,637.4130317059731,0.0007962734423861449,0.4859870635721329,41.143658542338386,-0.0009517080470686778,True,True,False,29,0.020214665331938993,False,2.787813977858904,637.083813977859,637.4130317059731,0.0007962734423861449,0.4859870635721329,41.143658542338386,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,50.95
waterway,3,2.000171466797014,616554.119,3097759.805,634.294,7.927,0.0,Junction,0.054249791759048094,1.0002464695694653,50.95,0.0,1.61485630646348,12.800965941336004,11.15671261292696,1.147377940568613,3.980168389908432,635.9088563064635,636.7162844620203,0.0029674044896048227,1.0000000014398527,31.007580928314454,0.0,True,True,True,0,0.0,True,2.8352364515301067,22.474919351279155,13.597472903060213,1.652874729849324,2.266971427290136,637.1292364515301,637.3911711840556,0.0005916815459360687,0.42984996999837827,43.634779272591004,-0.0009208240077214214,True,True,False,26,0.014351873367486575,False,2.8352364515301067,637.1292364515301,637.3911711840556,0.0005916815459360687,0.42984996999837827,43.634779272591004,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,50.95
waterway,4,3.000096463914309,616553.172,3097759.484,634.292,8.664,0.0,Junction,2.1414052753243595e-09,0.999924997117295,50.95,0.0,1.5219281874597073,13.185985816150904,11.707856374919414,1.126251073970974,3.8639507663957673,635.8139281874597,636.5748922815031,0.0028668087992618093,1.0000000002059832,30.102185247833326,0.0,True,True,True,0,0.0,True,2.869279291743339,24.85943578366429,14.402558583486677,1.7260430248946874,2.049523587075151,637.1612792917433,637.3753744463803,0.00045647766926574883,0.3863064906386435,46.30890164582861,-0.0009915781357676678,True,True,False,23,0.01062893086548974,False,2.869279291743339,637.1612792917433,637.3753744463803,0.00045647766926574883,0.3863064906386435,46.30890164582861,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,50.95
waterway,5,4.000021461141857,616552.225,3097759.163,634.29,9.401,0.0,Junction,2.1414052753243595e-09,0.9999249972275486,50.95,0.0,1.4413089640438557,13.549745570976286,12.283617928087711,1.1030744891530246,3.760218207280253,635.7313089640438,636.4519634475485,0.002791272004142011,1.0000000010287573,29.294054668124442,0.0,True,True,True,0,0.0,True,2.894679091951991,27.212878143440665,15.190358183903982,1.791457305613504,1.8722753150710332,637.1846790919519,637.3633444770398,0.00036250443508541516,0.3513459854649838,49.11027340252262,-0.0009924424109613028,True,True,False,21,0.008129111633831735,False,2.894679091951991,637.1846790919519,637.3633444770398,0.00036250443508541516,0.3513459854649838,49.11027340252262,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,50.95
waterway,6,4.999946458259152,616551.278,3097758.842,634.288,10.138,0.0,Junction,2.1414052753243595e-09,0.9999249971172945,50.95,0.0,1.3705817125737667,13.894957402072846,12.879163425147533,1.0788711147916563,3.666797855198843,635.6585817125738,636.3438725643011,0.0027339907101635984,0.9999999966732945,28.566261641700088,0.0,True,True,True,0,0.0,True,2.9143260869069922,29.545437869063086,15.966652173813983,1.8504466401240276,1.7244625118028645,637.202326086907,637.3538944332175,0.00029452439901746637,0.32251519591372063,52.00882648312149,-0.0008963248334339369,True,True,False,20,0.006382615338112882,False,2.9143260869069922,637.202326086907,637.3538944332175,0.00029452439901746637,0.32251519591372063,52.00882648312149,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,50.95
waterway,7,5.9998714554867005,616550.331,3097758.521,634.286,10.874,0.0,Junction,0.05424981915436433,0.9999249972275486,50.95,0.0,1.308017548173666,14.223382818840445,13.490035096347333,1.0543621804728796,3.5821295572886562,635.5940175481736,636.2480263231583,0.0026903699518097913,1.0000000006864807,27.906651507695855,0.0,True,True,True,0,0.0,True,2.930007696033044,31.86090368666332,16.734015392066087,1.9039604625778686,1.5991385712429493,637.216007696033,637.3463463387463,0.0002438245779358924,0.2982752472371763,54.981760386529785,-0.0009780886319958881,True,True,False,18,0.005113266487752501,False,2.930007696033044,637.216007696033,637.3463463387463,0.0002438245779358924,0.2982752472371763,54.981760386529785,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,50.95
waterway,8,7.000117925206072,616549.384,3097758.199,634.284,11.611,0.0,Junction,0.054249817012959056,1.0002464697193716,50.95,0.0,1.2520645149052143,14.537721082564444,14.11512902981043,1.0299389436583628,3.504675850543451,635.5360645149052,636.1620967685944,0.0026570287706666283,0.9999999969942532,27.30324693318034,0.0,True,True,True,0,0.0,True,2.9426968286775543,34.16765287777508,17.49639365735511,1.9528397421151833,1.491176469810757,637.2266968286775,637.3400305322513,0.00020496755906211587,0.2775375676301408,58.01721516951425,-0.0009438806795287746,True,True,False,17,0.004152017414118803,False,2.9426968286775543,637.2266968286775,637.3400305322513,0.00020496755906211587,0.2775375676301408,58.01721516951425,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,50.95
waterway,9,8.000042922323367,616548.437,3097757.878,634.282,12.348,0.0,Junction,2.1414052753243595e-09,0.9999249971172945,50.95,0.0,1.2017350010573864,14.839023793056608,14.751470002114774,1.005935258718574,3.433514273616856,635.4837350010574,636.0846024968337,0.0026316826954229803,0.9999999960453765,26.748861269416963,0.0,True,True,True,0,0.0,True,2.9532512331654055,36.46674622712643,18.254502466330813,1.9976850256196717,1.3971633137397916,637.2352512331654,637.3347448786934,0.00017457183604779043,0.2595747670107706,61.10415067776171,0.0009409090807821485,True,True,False,43,0.04804770216317153,False,2.9532512331654055,637.2352512331654,637.3347448786934,0.00017457183604779043,0.2595747670107706,61.10415067776171,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,50.95
waterway,10,8.999967919550915,616547.49,3097757.557,634.28,6.224,0.0,Normal,0.0,0.9999249972275486,50.95,0.0,1.8974051140248775,11.809449429690838,10.018810228049755,1.178727729229546,4.314341689114108,636.1774051140249,637.12610767317,0.00336351673513425,1.0000000011240182,33.61096466294279,0.0,True,True,True,0,0.0,True,2.426733516126939,15.103989404374069,11.077467032253878,1.3634876421113513,3.3732809680894666,636.7067335161269,637.2867041832866,0.0016933729137381024,0.6913643288115294,35.846420280668085,-0.0002543152521639058,True,True,False,1,5.2438841755480065e-05,False,2.426733516126939,636.7067335161269,637.2867041832866,0.0016933729137381024,0.6913643288115294,35.846420280668085,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,50.95
