segment,sn,chainage,easting,northing,bed_elevation,bed_width,side_slope,section_type,deflection_angle_deg,dx,q_used,lateral_inflow,y_forward,area_forward,perimeter_forward,radius_forward,velocity_forward,ws_forward,eg_forward,sf_forward,froude_forward,specific_force_forward,error_forward,done_forward,valid_forward,critical_default_forward,iterations_forward,local_loss_forward,fallback_forward,y_backward,area_backward,perimeter_backward,radius_backward,velocity_backward,ws_backward,eg_backward,sf_backward,froude_backward,specific_force_backward,error_backward,done_backward,valid_backward,critical_default_backward,iterations_backward,local_loss_backward,fallback_backward,y_final,ws_final,eg_final,sf_final,froude_final,specific_force_final,final_source,regime,spill_crest_left,spill_crest_right,spill_left,spill_right,spill_extra,spill_total,cumulative_spill,cumulative_lateral_inflow,q_after_row
drain,1,0.0,616073.135,3096615.242,631.5,2.05,0.0,Normal,0.0,0.0,0.0,0.0,0.05,0.1025,2.15,0.04767441860465116,0.0,631.55,631.55,0.0,0.0,0.0025625,0.0,True,True,True,0,0.0,True,1.4932033608957813,3.0610668898363516,5.036406721791563,0.6077878652237724,0.0,632.9932033608958,632.9932033608958,0.0,0.0,2.2853976839152184,0.0,True,True,False,1,0.0,False,1.4932033608957813,632.9932033608958,632.9932033608958,0.0,0.0,2.2853976839152184,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drain,2,0.9999449985875535,616073.556,3096614.335,631.5,2.332,0.0,Normal,0.0,0.9999449985875535,0.0,0.0,0.05,0.1166,2.432,0.04794407894736842,0.0,631.55,631.55,0.0,0.0,0.002915,0.0,True,True,True,0,0.0,True,1.4932033608957813,3.4821502376089617,5.318406721791563,0.6547356040562392,0.0,632.9932033608958,632.9932033608958,0.0,0.0,2.5997792189708724,0.0,True,True,False,1,0.0,False,1.4932033608957813,632.9932033608958,632.9932033608958,0.0,0.0,2.5997792189708724,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drain,3,1.999889997175107,616073.977,3096613.428,631.5,2.614,0.0,Normal,0.051951114698567835,0.9999449985875535,0.0,0.0,0.05,0.1307,2.714,0.048157700810611645,0.0,631.55,631.55,0.0,0.0,0.0032675000000000004,0.0,True,True,True,0,0.0,True,1.4932033608957813,3.9032335853815723,5.600406721791563,0.6969553782931203,0.0,632.9932033608958,632.9932033608958,0.0,0.0,2.9141607540265273,0.0,True,True,False,1,0.0,False,1.4932033608957813,632.9932033608958,632.9932033608958,0.0,0.0,2.9141607540265273,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drain,4,3.0002564297364893,616074.399,3096612.521,631.5,2.897,0.0,Normal,0.051951114698567835,1.0003664325613824,0.0,0.0,0.05,0.14485,2.997,0.04833166499833167,0.0,631.55,631.55,0.0,0.0,0.0036212500000000003,0.0,True,True,True,0,0.0,True,1.4932033608957813,4.325810136515078,5.883406721791562,0.7352560074578391,0.0,632.9932033608958,632.9932033608958,0.0,0.0,3.2296571172206767,0.0,True,True,False,1,0.0,False,1.4932033608957813,632.9932033608958,632.9932033608958,0.0,0.0,3.2296571172206767,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drain,5,4.000201428324043,616074.82,3096611.614,631.5,3.179,0.0,Normal,6.050470346963266e-09,0.9999449985875533,0.0,0.0,0.05,0.15895,3.279,0.04847514486123818,0.0,631.55,631.55,0.0,0.0,0.003973750000000001,0.0,True,True,True,0,0.0,True,1.4932033608957813,4.746893484287688,6.1654067217915625,0.7699238182470339,0.0,632.9932033608958,632.9932033608958,0.0,0.0,3.5440386522763307,0.0,True,True,False,1,0.0,False,1.4932033608957813,632.9932033608958,632.9932033608958,0.0,0.0,3.5440386522763307,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drain,6,5.00014642696061,616075.241,3096610.707,631.5,3.461,0.0,Normal,0.051951091351895684,0.9999449986365674,0.0,0.0,0.05,0.17305,3.561,0.048595900028082,0.0,631.55,631.55,0.0,0.0,0.00432625,0.0,True,True,True,0,0.0,True,1.4932033608957813,5.167976832060299,6.4474067217915625,0.8015589918646013,0.0,632.9932033608958,632.9932033608958,0.0,0.0,3.8584201873319857,0.0,True,True,False,1,0.0,False,1.4932033608957813,632.9932033608958,632.9932033608958,0.0,0.0,3.8584201873319857,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drain,7,6.000512859895083,616075.663,3096609.8,631.5,3.898,0.0,Normal,5.266044029917168,1.0003664329344728,0.0,0.0,0.05,0.19490000000000002,3.998,0.04874937468734367,0.0,631.55,631.55,0.0,0.0,0.004872500000000001,0.0,True,True,True,0,0.0,True,1.4932033608957813,5.820506700771756,6.884406721791563,0.8454623522384014,0.0,632.9932033608958,632.9932033608958,0.0,0.0,4.345600083854401,0.0,True,True,False,1,0.0,False,1.4932033608957813,632.9932033608958,632.9932033608958,0.0,0.0,4.345600083854401,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drain,8,6.98611318443741,616075.995,3096608.872,631.5,4.264,0.0,Normal,17.56613035245408,0.985600324542327,0.0,0.0,0.05,0.21320000000000003,4.364,0.048854262144821275,0.0,631.55,631.55,0.0,0.0,0.005330000000000001,0.0,True,True,True,0,0.0,True,1.4932033608957813,6.367019130859612,7.250406721791563,0.8781602708884078,0.0,632.9932033608958,632.9932033608958,0.0,0.0,4.753627182543655,0.0,True,True,False,1,0.0,False,1.4932033608957813,632.9932033608958,632.9932033608958,0.0,0.0,4.753627182543655,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drain,9,7.986797450327919,616076.032,3096607.872,631.5,4.606,0.0,Normal,0.05939158549995227,1.0006842658905093,0.0,0.0,0.05,0.2303,4.7059999999999995,0.04893752656183596,0.0,631.55,631.55,0.0,0.0,0.0057575000000000005,0.0,True,True,True,0,0.0,True,1.4932033608957813,6.877694680285969,7.592406721791562,0.9058648900546592,0.0,632.9932033608958,632.9932033608958,0.0,0.0,5.134898405909023,0.0,True,True,False,1,0.0,False,1.4932033608957813,632.9932033608958,632.9932033608958,0.0,0.0,5.134898405909023,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drain,10,8.986519911648116,616076.07,3096606.873,631.5,4.716,0.0,Normal,5.652736945194192e-09,0.9997224613201974,0.0,0.0,0.05,0.2358,4.816,0.04896179401993356,0.0,631.55,631.55,0.0,0.0,0.005895000000000001,0.0,True,True,True,0,0.0,True,1.4932033608957813,7.041947049984505,7.702406721791563,0.914252817896711,0.0,632.9932033608958,632.9932033608958,0.0,0.0,5.257529501143497,0.0,True,True,False,1,0.0,False,1.4932033608957813,632.9932033608958,632.9932033608958,0.0,0.0,5.257529501143497,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
