segment,sn,chainage,easting,northing,bed_elevation,bed_width,side_slope,section_type,deflection_angle_deg,dx,q_used,lateral_inflow,y_forward,area_forward,perimeter_forward,radius_forward,velocity_forward,ws_forward,eg_forward,sf_forward,froude_forward,specific_force_forward,error_forward,done_forward,valid_forward,critical_default_forward,iterations_forward,local_loss_forward,fallback_forward,y_backward,area_backward,perimeter_backward,radius_backward,velocity_backward,ws_backward,eg_backward,sf_backward,froude_backward,specific_force_backward,error_backward,done_backward,valid_backward,critical_default_backward,iterations_backward,local_loss_backward,fallback_backward,y_final,ws_final,eg_final,sf_final,froude_final,specific_force_final,final_source,regime,spill_crest_left,spill_crest_right,spill_left,spill_right,spill_extra,spill_total,cumulative_spill,cumulative_lateral_inflow,q_after_row,spill_to_drain
sidechannel,1,0.0,616065.73,3096621.868,631.5,10.206,0.0,Junction,0.0,0.0,17.82828582815472,0.0,0.6775577999651432,6.9151549064442515,11.561115599930286,0.5981390676939473,2.5781469929965692,632.1775577999651,632.5163366948427,0.002967529025728349,0.9999999924655346,7.028125646638572,0.0,True,True,True,0,0.0,True,2.700023147775865,27.55643624620048,15.60604629555173,1.7657538446528274,0.6469735661342242,634.2000231477758,634.2213572352007,4.4128115129524256e-05,0.1257095550862913,38.37729070746555,-0.0008640914979878289,True,True,False,11,0.0018805547590951702,False,2.700023147775865,634.2000231477758,634.2213572352007,4.4128115129524256e-05,0.1257095550862913,38.37729070746555,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,17.82828582815472,0.0
sidechannel,2,0.9999699995550531,616066.682,3096621.562,631.5,12.126,0.0,Junction,0.07203584737780488,0.9999699995550531,17.82828582815472,0.0,0.6040019579231739,7.324127741776406,13.334003915846347,0.5492819552176893,2.434185538089839,632.1040019579232,632.4060029382415,0.0029636671831367984,1.0000000022462632,6.635681264042557,0.0,True,True,True,0,0.0,True,2.7035019721434446,32.78266491421141,17.53300394428689,1.8697688666689432,0.5438327199698183,634.2035019721435,634.2185760815885,2.8888785646889144e-05,0.10560086716890771,45.30233858147152,-0.0009776104382126505,True,True,False,6,0.0009553206501676976,False,2.7035019721434446,634.2035019721435,634.2185760815885,2.8888785646889144e-05,0.10560086716890771,45.30233858147152,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,17.82828582815472,0.0
sidechannel,3,2.00058680921755,616067.635,3096621.257,631.5,13.644,0.0,Junction,0.07203587277911083,1.000616809662497,17.82828582815472,0.0,0.5583273656666279,7.617818577155471,14.760654731333256,0.5160894767753565,2.340340039288765,632.0583273656666,632.3374910506564,0.002976965296094521,1.0000000038622456,6.37985490031836,0.0,True,True,True,0,0.0,True,2.7047220749153347,36.90322799014483,19.053444149830668,1.9368271531356076,0.4831091153574924,634.2047220749154,634.216617814841,2.1751297170292936e-05,0.09378846012211392,50.78447009546547,-0.0008725908137421357,True,True,False,4,0.0006183365788581463,False,2.7047220749153347,634.2047220749154,634.216617814841,2.1751297170292936e-05,0.09378846012211392,50.78447009546547,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,17.82828582815472,0.0
sidechannel,4,3.0005568089151,616068.587,3096620.951,631.5,15.0,0.0,Junction,0.05456556890698039,0.9999699996975497,17.82828582815472,0.0,0.5241503529250622,7.862255293875933,16.048300705850124,0.48991201236713405,2.2675791057104857,632.0241503529251,632.2862255313478,0.0029955963561432825,1.0000000037398427,6.181505861431825,0.0,True,True,True,0,0.0,True,2.7052691019173856,40.57903652876078,20.410538203834772,1.9881414259393078,0.43934719385263743,634.2052691019173,634.2151073260125,1.737274849408851e-05,0.08528410909599995,55.68705816328447,-0.0008169012201051373,True,True,False,1,0.00035829894853004753,False,2.7052691019173856,634.2052691019173,634.2151073260125,1.737274849408851e-05,0.08528410909599995,55.68705816328447,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,17.82828582815472,0.0
sidechannel,5,4.000221252460412,616069.539,3096620.646,631.5,16.0,0.0,Junction,0.05456556890698039,0.9996644435453126,17.82828582815472,0.0,0.5020767040550709,8.033227264881134,17.00415340811014,0.4724273577213013,2.219317995159262,632.0020767040551,632.2531150508256,0.0030119068424912126,0.99999998952947,6.049944317653778,0.0,True,True,True,0,0.0,True,2.7052691019173856,43.28430563067817,21.410538203834772,2.021635571165869,0.4118879942368476,634.2052691019173,634.2139159785635,1.4932652453342386e-05,0.07995385227749995,59.29639541331219,-0.0006764164435253406,True,True,False,1,0.0002969942546810041,False,2.7052691019173856,634.2052691019173,634.2139159785635,1.4932652453342386e-05,0.07995385227749995,59.29639541331219,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,17.82828582815472,0.0
sidechannel,6,5.000191252157962,616070.491,3096620.34,631.5,17.0,0.0,Junction,0.05456556890698039,0.9999699996975497,17.82828582815472,0.0,0.4821891564875841,8.19721566028893,17.964378312975168,0.4563038874753773,2.1749197004201206,631.9821891564876,632.2232837387137,0.003029679911825172,1.0000000082587521,5.9289128224595276,0.0,True,True,True,0,0.0,True,2.7052691019173856,45.98957473259556,22.410538203834772,2.052140573970065,0.3876592886935036,634.2052691019173,634.2129286189464,1.2966022305111567e-05,0.07525068449647054,62.91160362885364,-0.0005665604830937809,True,True,False,1,0.00024869804732223646,False,2.7052691019173856,634.2052691019173,634.2129286189464,1.2966022305111567e-05,0.07525068449647054,62.91160362885364,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,17.82828582815472,0.0
sidechannel,7,5.999855695703275,616071.443,3096620.035,631.5,18.0,0.0,Junction,0.037048687174063843,0.9996644435453126,17.82828582815472,0.0,0.4641607221215964,8.354892998188735,18.928321444243192,0.4413964028875772,2.1338736273486365,631.9641607221216,632.1962410818307,0.003048467181400796,0.9999999970880291,5.817019728346606,0.0,True,True,True,0,0.0,True,2.7052691019173856,48.69484383451294,23.410538203834772,2.0800394852321875,0.3661226615438645,634.2052691019173,634.2121012019834,1.1359005263793239e-05,0.07107009091333329,66.53170431565653,-0.0004790439409134706,True,True,False,1,0.000210494750170753,False,2.7052691019173856,634.2052691019173,634.2121012019834,1.1359005263793239e-05,0.07107009091333329,66.53170431565653,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,17.82828582815472,0.0
sidechannel,8,7.000777770674077,616072.396,3096619.729,631.5,19.0,0.0,Junction,0.0370486892097972,1.000922074970802,17.82828582815472,0.0,0.4477280680090189,8.50683329217136,19.895456136018037,0.42757669057764836,2.095760574567939,631.947728068009,632.1715921039884,0.0030679420713196764,1.0000000044106316,5.7131220857659955,0.0,True,True,True,0,0.0,True,2.7052691019173856,51.400112936430325,24.410538203834772,2.1056525877154004,0.346853047778398,634.2052691019173,634.2114009590404,1.0029776532955629e-05,0.06732955981263154,70.15592497825853,0.0008601648386274974,True,True,False,26,0.004467092197958922,False,2.7052691019173856,634.2052691019173,634.2114009590404,1.0029776532955629e-05,0.06732955981263154,70.15592497825853,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,17.82828582815472,0.0
sidechannel,9,8.000442214330254,616073.348,3096619.424,631.5,6.724,0.0,Normal,0.05456557094271375,0.9996644436561777,17.82828582815472,0.0,0.8948802463710308,6.017174776598812,8.513760492742062,0.7067587562192316,2.962899781055072,632.394880246371,632.8423203642393,0.0031375321029204913,0.9999999940581904,8.076976205821307,0.0,True,True,True,0,0.0,True,2.656966240724554,17.8654410026319,12.037932481449108,1.4840954649117026,0.9979202766686975,634.1569662407245,634.2077228604282,0.00013236050893282008,0.19546469458899726,25.547515599443425,0.000991128377449968,True,True,False,18,0.0013013742164917986,False,2.656966240724554,634.1569662407245,634.2077228604282,0.00013236050893282008,0.19546469458899726,25.547515599443425,backward,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,17.82828582815472,0.0
sidechannel,10,9.000412214027804,616074.3,3096619.118,631.5,6.032,0.0,Normal,0.05456556890698039,0.9999699996975497,17.82828582815472,0.0,0.9620755277574062,5.803239583432674,7.9561510555148125,0.7294028912900232,3.0721264514137308,632.4620755277574,632.9431132919509,0.003234228646485542,1.000000000327177,8.374732181053849,0.0,True,True,True,0,0.0,True,2.643544970298338,15.945863260839575,11.319089940596676,1.4087584200253296,1.1180508409311438,634.1435449702983,634.2072573904261,0.00017809713107401457,0.219550129464016,23.10870238887791,-0.0009716321924315707,True,True,False,9,0.003411566211366281,False,2.643544970298338,634.1435449702983,634.2072573904261,0.00017809713107401457,0.219550129464016,23.10870238887791,backward,Subcritical,,635.5,0.0,0.0,0.0,0.0,0.0,0.0,17.82828582815472,0.0
