segment,from_node,to_node,n_points,length,start_width,end_width,start_side,end_side,start_bed,end_bed,upstream_bc_type,upstream_bc_value,downstream_bc_type,downstream_bc_value,ws_start,ws_end,q_in,q_lateral_in_total,q_spill,q_out,y_avg,sf_avg,hf,h_junc,h_total,profile_mode,start_angle_deg,end_angle_deg
UsProject,Inlet,Junction1,12,10.742003493255543,6.003,6.558,0.0,0.0,634.32,634.298,Known WSE,637.0,,,636.9476586683563,637.0031682017974,51.0,0.0,0.0,51.0,2.6391678424626055,0.0014393823247611647,0.015461849960714716,0.0,0.015461849960714716,Mixed,-118.02531604906225,-117.98160623555769
waterway,Junction1,Junction2,1387,1385.5147269733347,6.558,10.206,0.0,0.0,634.298,631.875,,,,,637.0270318663686,634.1993611824288,50.95,0.0,0.0,50.95,2.526684496960661,0.002762220649482577,3.82709738900796,4.1237930921784775e-08,3.8270974302458907,Mixed,-161.2751319345142,-90.0
UsExit,Junction1,Outlet,19,17.255123555790277,6.558,5.994,0.0,0.0,634.298,634.262,,,Dead End,637.0,637.0159735097637,637.0,0.05,0.0,0.0,0.0,2.7279867878849373,9.100867720838101e-10,1.570365969879649e-08,5.152321140935487e-14,1.57037112220079e-08,Mixed,-118.0253160674809,-117.87386594555228
forebay,Junction2,Outlet,39,38.0,10.206,5.005,0.0,0.0,631.875,621.978,,,Spill End,635.5,634.1952096360089,634.235022934214,33.121714171845284,0.0,33.07171417184529,0.0,5.905943997239654,2.1452152761278454e-05,0.0008151818049285813,0.0,0.0008151818049285813,Mixed,-90.0,-90.0
sidechannel,Junction2,Outlet,36,34.930617570561836,10.206,3.82,0.0,0.0,631.5,631.5,,,Spill End,635.5,634.2000231477758,634.0054152314212,17.82828582815472,0.0,17.77828582815472,0.0,2.6136438387717513,0.0002780496113327018,0.009712444639105963,0.019453979719958145,0.029166424359064108,Mixed,-17.818888906358083,-85.75513794731292
drain,Inlet,Outlet,47,45.36338347785956,2.05,3.2,0.0,0.0,631.5,622.0,Spill Zero,,Known WSE,625.0,632.9932033608958,625.0,0.0,50.85000000000001,0.0,50.85000000000001,2.1869775173489496,0.0023233827528757805,0.10539650278454904,0.0,0.10539650278454904,Mixed,-65.10079947960047,-90.40538788925556
