outer_iteration,alpha1,alpha2,j1_wse,j2_wse,j1_target,j2_target,err_j1,err_j2,alpha1_next,alpha2_next,j1_next,j2_next,q_waterway,q_usexit,q_forebay,q_sidechannel,spill_forebay_to_drain,spill_sidechannel_to_drain,spill_to_drain_total,q_drain_out,max_qout_change,max_boundary_stage_change,max_junction_change,max_alpha_change,max_spill_change
0,0.65,0.65,634.3,631.9,637.0270318663686,635.5641154963131,2.727031866368634,3.6641154963131157,0.98,0.6500083466345637,635.2544611532289,633.1824404237095,50.95,0.05,33.1175,17.832500000000003,33.0675,17.782500000000002,50.85,50.85,50.85,0.8335862754112213,1.282440423709545,0.32999999999999996,33.0675
1,0.98,0.6500083466345637,635.2544611532289,633.1824404237095,637.0270318663686,634.7818872715254,1.7725707131396575,1.5994468478158979,0.98,0.6500224746134222,635.8748609028278,633.7422468204451,50.95,0.05,33.117925261031026,17.832074738968977,33.06792526103103,17.782074738968976,50.85000000000001,50.85000000000001,7.105427357601002e-15,0.3638741578781719,0.620399749598846,1.412797885846917e-05,0.0004252610310260252
2,0.98,0.6500224746134222,635.8748609028278,633.7422468204451,637.0270318663686,634.4545739268073,1.1521709635408115,0.7123271063621814,0.98,0.6500378953053354,636.278120740067,633.9915613076719,50.95,0.05,33.118645081553865,17.831354918446138,33.06864508155387,17.781354918446137,50.85000000000001,50.85000000000001,0.0,0.1620544166974014,0.4032598372392613,1.5420691913181628e-05,0.000719820522839143
3,0.98,0.6500378953053354,636.278120740067,633.9915613076719,637.0270318663686,634.3136023257925,0.7489111263015502,0.32204101812067165,0.98,0.6500513966204559,636.5402396342726,634.1042756640142,50.95,0.05,33.11943076580684,17.830569234193163,33.06943076580684,17.780569234193162,50.85000000000001,50.85000000000001,0.0,0.07326433162245394,0.26211889420551415,1.3501315120456603e-05,0.000785684252974761
4,0.98,0.6500513966204559,636.5402396342726,634.1042756640142,637.0270318663686,634.2519322184221,0.48679223209603606,0.1476565544079449,0.98,0.6500619223681068,636.7106169155062,634.155955458057,50.95,0.05,33.12011865781223,17.829881342187775,33.07011865781223,17.779881342187775,50.85000000000001,50.85000000000001,0.0,0.0335918661278356,0.17037728123364104,1.0525747650924622e-05,0.0006878920053878801
5,0.98,0.6500619223681068,636.7106169155062,634.155955458057,637.0270318663686,634.2236022317592,0.316414950862395,0.06764677370222216,0.98,0.6500694621994689,636.821362148308,634.1796318288527,50.95,0.05,33.120654944655044,17.82934505534496,33.07065494465505,17.779345055344958,50.85000000000001,50.85000000000001,0.0,0.0153896410172365,0.11074523280183257,7.539831362146643e-06,0.0005362868428164802
6,0.98,0.6500694621994689,636.821362148308,634.1796318288527,637.0270318663686,634.2105053689961,0.20566971806056245,0.030873540143375067,0.98,0.6500745910939005,636.8933465496292,634.1904375679029,50.95,0.05,33.12103909906294,17.828960900937062,33.07103909906294,17.77896090093706,50.85000000000001,50.85000000000001,0.0,0.007207264058706642,0.07198440132117412,5.1288944316052465e-06,0.0003841544078966308
7,0.98,0.6500745910939005,636.8933465496292,634.1904375679029,637.0270318663686,634.2046711884022,0.13368531673938833,0.01423362049933985,0.98,0.6500780201928918,636.940136410488,634.1954193350776,50.95,0.05,33.121300416234234,17.82869958376577,33.07130041623424,17.778699583765768,50.85000000000001,50.85000000000001,0.0,0.006276385203818791,0.04678986085878023,3.4290989913143832e-06,0.0002613171712937401
8,0.98,0.6500780201928918,636.940136410488,634.1954193350776,637.0270318663686,634.2020595461482,0.0868954558806081,0.00664021107058943,0.98,0.65008028090504,636.9705498200462,634.1977434089523,50.95,0.05,33.12147512882784,17.828524871172164,33.07147512882784,17.778524871172163,50.85000000000001,50.85000000000001,0.0,0.004762000795608401,0.030413409558263993,2.260712148149935e-06,0.00017471259360490876
9,0.98,0.65008028090504,636.9705498200462,634.1977434089523,637.0270318663686,634.2009161103205,0.056482046322344104,0.0031727013681575045,0.98,0.650081761134285,636.9903185362591,634.1988538544311,50.95,0.05,33.12159031211179,17.82840968788821,33.071590312111795,17.77840968788821,50.85000000000001,50.85000000000001,0.0,0.0033852974402179825,0.01976871621286591,1.4802292449545007e-06,0.00011518328395254684
10,0.98,0.650081761134285,636.9903185362591,634.1988538544311,637.0270318663686,634.2003033629958,0.03671333010947819,0.0014495085646331063,0.98,0.6500827119106042,637.0031682017974,634.1993611824288,50.95,0.05,33.12166572979182,17.82833427020818,33.071665729791825,17.77833427020818,50.85000000000001,50.85000000000001,0.0,0.0023082858083398605,0.012849665538283261,9.50776319230684e-07,7.541768002994331e-05
11,0.98,0.6500827119106042,637.0031682017974,634.1993611824288,637.0270318663686,634.2000231477758,0.02386366457119493,0.0006619653470352205,0.98,0.6500833191022272,637.0115204843974,634.1995928703002,50.95,0.05,33.121714171845284,17.82828582815472,33.07171417184529,17.77828582815472,50.85000000000001,50.85000000000001,0.0,0.0015341320018933402,0.008352282599958016,6.071916229810626e-07,4.844205346188346e-05
