segment,sn,chainage,easting,northing,bed_elevation,bed_width,side_slope,section_type,deflection_angle_deg,dx,q_used,lateral_inflow,y_forward,area_forward,perimeter_forward,radius_forward,velocity_forward,ws_forward,eg_forward,sf_forward,froude_forward,specific_force_forward,error_forward,done_forward,iterations_forward,local_loss_forward,fallback_forward,y_backward,area_backward,perimeter_backward,radius_backward,velocity_backward,ws_backward,eg_backward,sf_backward,froude_backward,specific_force_backward,error_backward,done_backward,iterations_backward,local_loss_backward,fallback_backward,y_final,ws_final,eg_final,sf_final,froude_final,specific_force_final,regime,spill_crest_left,spill_crest_right,spill_left,spill_right,spill_extra,spill_total,cumulative_spill,cumulative_lateral_inflow,q_after_row,spill_to_drain
sidechannel,1,0.0,616065.73,3096621.868,631.5,10.206,0.0,Junction,0.0,0.0,9.670037811753737,0.0,0.05,0.5103,10.306,0.04951484572093926,18.949711565263055,631.55,649.8523225487596,4.443656557478742,27.05721533991231,18.6921078932641,0.0,True,0,0.0,False,159.80904522613065,1631.0111155778893,329.8240904522613,4.945093953996552,0.005928860765812446,791.3090452261306,791.3090470177407,9.387694710622159e-10,0.00014973939335649494,130325.17041112631,-3.647578523668926e-07,True,1,1.5694738864662213e-07,False,159.80904522613065,791.3090452261306,791.3090470177407,9.387694710622159e-10,0.00014973939335649494,130325.17041112631,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,9.670037811753737,0.0
sidechannel,2,0.9999699995550531,616066.682,3096621.562,631.5,12.126,0.0,Junction,0.07203584737780488,0.9999699995550531,9.670037811753737,0.0,0.050126382336020466,0.6078325122065842,12.22625276467204,0.04971535628340077,15.90904997274509,631.550126382336,644.4501198092116,3.1151832713462366,22.68697336449264,15.697305046664079,1.0065969036077149e-07,True,250,1.6228961087548326,True,159.80904522613065,1937.8444824120602,331.7440904522613,5.841383579041992,0.004990100030998006,791.3090452261306,791.3090464952998,5.325741144231215e-10,0.0001260300386439376,154842.54318440313,-1.860898919403553e-07,True,1,8.01622385507877e-08,False,159.80904522613065,791.3090452261306,791.3090464952998,5.325741144231215e-10,0.0001260300386439376,154842.54318440313,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,9.670037811753737,0.0
sidechannel,3,2.00058680921755,616067.635,3096621.257,631.5,13.644,0.0,Junction,0.07203587277911083,1.000616809662497,9.670037811753737,0.0,0.05278612785041332,0.7202139283910394,13.749572255700826,0.05238082429018295,13.426618717797693,631.5527861278504,640.7410679929429,2.0695983017351645,18.658307656707816,13.254065806696719,-2.2096867269283393e-07,True,250,1.1150622390105245,True,159.80904522613065,2180.4346130653266,333.2620904522613,6.542702202060593,0.004434913000284507,791.3090452261306,791.3090462286002,3.616400519780504e-10,0.00011200822695663934,174226.59121762752,-1.2073348898411496e-07,True,1,5.200741510761493e-08,False,159.80904522613065,791.3090452261306,791.3090462286002,3.616400519780504e-10,0.00011200822695663934,174226.59121762752,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,9.670037811753737,0.0
sidechannel,4,3.0005568089151,616068.587,3096620.951,631.5,15.0,0.0,Junction,0.05456556890698039,0.9999699996975497,9.670037811753737,0.0,0.05618240125477314,0.8427360188215971,15.112364802509546,0.055764668854582776,11.474575188177443,631.5561824012548,638.2669813691007,1.3905189552020538,15.456172774194458,11.334537477129789,-5.778969125458389e-07,True,250,0.7440804755527191,True,159.80904522613065,2397.1356783919596,334.6180904522613,7.163795822132784,0.004033996865058788,791.3090452261306,791.309046055546,2.651323360537544e-10,0.00010188268323975916,191541.98599709864,-6.999061952228658e-08,True,1,3.020653657158613e-08,False,159.80904522613065,791.3090452261306,791.309046055546,2.651323360537544e-10,0.00010188268323975916,191541.98599709864,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,9.670037811753737,0.0
sidechannel,5,4.000221252460412,616069.539,3096620.646,631.5,16.0,0.0,Junction,0.05456556890698039,0.9996644435453126,9.670037811753737,0.0,4.056387663622807,64.90220261796492,24.112775327245615,2.6916106394700376,0.14899398512982165,635.5563876636228,635.5575191217066,1.3340445789432383e-06,0.023619163147539732,131.7811152643521,0.0009248512654949081,True,55,2.0135105505344666,False,159.80904522613065,2556.9447236180904,335.6180904522613,7.618614122297418,0.0037818720609926137,791.3090452261306,791.309045955109,2.1466515142002103e-10,9.551501553727421e-05,204311.45121661475,-5.8006207837024704e-08,True,1,2.5038219766978698e-08,False,159.80904522613065,791.3090452261306,791.309045955109,2.1466515142002103e-10,9.551501553727421e-05,204311.45121661475,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,9.670037811753737,0.0
sidechannel,6,5.000191252157962,616070.491,3096620.34,631.5,17.0,0.0,Junction,0.05456556890698039,0.9999699996975497,9.670037811753737,0.0,4.056387663622807,68.95859028158773,25.112775327245615,2.745956565253561,0.14022963306336153,635.5563876636228,635.5573899240708,1.1506340688829732e-06,0.022229800609449155,139.99961639469944,8.909314533411816e-05,True,1,3.886218851790121e-05,False,159.80904522613065,2716.753768844221,336.6180904522613,8.07073014166928,0.0035594089985812832,791.3090452261306,791.3090458718692,1.7608453087354925e-10,8.989648521155218e-05,217080.91646536937,-4.8628066906530876e-08,True,1,2.0966588633712348e-08,False,159.80904522613065,791.3090452261306,791.3090458718692,1.7608453087354925e-10,8.989648521155218e-05,217080.91646536937,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,9.670037811753737,0.0
sidechannel,7,5.999855695703275,616071.443,3096620.035,631.5,18.0,0.0,Junction,0.037048687174063843,0.9996644435453126,9.670037811753737,0.0,4.056387663622807,73.01497794521053,26.112775327245615,2.796140089675875,0.1324390978931748,635.5563876636228,635.5572816551952,1.00185078831445e-06,0.020994811686701982,148.21907744820766,7.465044427590328e-05,True,1,3.2542550055224406e-05,False,159.80904522613065,2876.5628140703516,337.6180904522613,8.520167892120382,0.003361664054215657,791.3090452261306,791.3090458021135,1.4611459606118636e-10,8.490223603313264e-05,229850.3817384894,-4.115395313419867e-08,True,1,1.7745844343795316e-08,False,159.80904522613065,791.3090452261306,791.3090458021135,1.4611459606118636e-10,8.490223603313264e-05,229850.3817384894,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,9.670037811753737,0.0
sidechannel,8,7.000777770674077,616072.396,3096619.729,631.5,19.0,0.0,Junction,0.0370486892097972,1.000922074970802,9.670037811753737,0.0,4.056387663622807,77.07136560883333,27.112775327245615,2.842621778058418,0.12546861905669193,635.5563876636228,635.5571900272502,8.796177454849629e-07,0.0198898215979282,156.43934685806192,6.314275776730938e-05,True,1,2.7543585555049148e-05,False,159.80904522613065,3036.3718592964824,338.6180904522613,8.966951101877273,0.0031847343671516748,791.3090452261306,791.3090457430793,1.2249994068320914e-10,8.04336972945467e-05,242619.8470321278,3.974029141318169e-06,True,1,3.6144204316481915e-07,False,159.80904522613065,791.3090452261306,791.3090457430793,1.2249994068320914e-10,8.04336972945467e-05,242619.8470321278,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,9.670037811753737,0.0
sidechannel,9,8.000442214330254,616073.348,3096619.424,631.5,6.724,0.0,Normal,0.05456557094271375,0.9996644436561777,9.670037811753737,0.0,4.051081689164379,27.239473277941283,14.826163378328758,1.8372570558447323,0.35500091037313125,635.5510816891643,635.5575050146672,1.2601286520799855e-05,0.056313103512471804,55.52460171615551,-0.0008844059489092615,True,13,0.0005626803415913092,False,159.80904522613065,1074.5560201005026,326.3420904522613,3.292728861947684,0.008999100680529717,791.3090452261306,791.309049353746,3.719684561527629e-09,0.00022728141710237764,85861.89467783393,1.1065031912949053e-06,True,1,1.0060403907050002e-07,False,159.80904522613065,791.3090452261306,791.309049353746,3.719684561527629e-09,0.00022728141710237764,85861.89467783393,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,9.670037811753737,0.0
sidechannel,10,9.000412214027804,616074.3,3096619.118,631.5,6.032,0.0,Normal,0.05456556890698039,0.9999699996975497,9.670037811753737,0.0,4.05025409338965,24.431132691326365,14.1325081867793,1.7287188069122252,0.3958080017790919,635.5502540933896,635.558239005432,1.6989705414943912e-05,0.06279266729066305,49.866308485869205,-0.0009056706397814196,True,5,0.00015688482273867988,False,159.80904522613065,963.96816080402,325.6500904522613,2.9601347859761553,0.010031490877964493,791.3090452261306,791.3090503551219,5.327189769313033e-09,0.00025335547887871145,77025.42559160842,-2.831400252034655e-07,True,1,2.720331682437145e-07,False,159.80904522613065,791.3090452261306,791.3090503551219,5.327189769313033e-09,0.00025335547887871145,77025.42559160842,Subcritical,,635.5,0.0,9.670037811753737,0.0,9.670037811753737,9.670037811753737,0.0,0.0,9.670037811753737
sidechannel,11,10.000076657573118,616075.252,3096618.813,631.5,6.391,0.0,Normal,12.168782546843033,0.9996644435453135,9.670037811753737,0.0,4.05025409338965,25.88517391085325,14.4915081867793,1.7862304997673375,0.3735743806495826,635.5502540933896,635.5573671320175,1.4488386428791444e-05,0.05926543093370043,52.78901027909936,0.0004326331950323947,True,1,0.0004235064548827255,False,159.80904522613065,1021.339608040201,326.0090904522613,3.132856223804469,0.009467994519774968,791.3090452261306,791.3090497950868,4.39991778508145e-09,0.00023912380669635226,81609.66313917935,1.180476715489931e-06,True,1,3.571215397932823e-07,False,159.80904522613065,791.3090452261306,791.3090497950868,4.39991778508145e-09,0.00023912380669635226,81609.66313917935,Subcritical,,635.5,0.0,9.670037811753737,0.0,9.670037811753737,19.340075623507474,0.0,0.0,9.670037811753737
