segment,sn,chainage,easting,northing,bed_elevation,bed_width,side_slope,section_type,deflection_angle_deg,dx,q_used,lateral_inflow,y_forward,area_forward,perimeter_forward,radius_forward,velocity_forward,ws_forward,eg_forward,sf_forward,froude_forward,specific_force_forward,error_forward,done_forward,iterations_forward,local_loss_forward,fallback_forward,y_backward,area_backward,perimeter_backward,radius_backward,velocity_backward,ws_backward,eg_backward,sf_backward,froude_backward,specific_force_backward,error_backward,done_backward,iterations_backward,local_loss_backward,fallback_backward,y_final,ws_final,eg_final,sf_final,froude_final,specific_force_final,regime,spill_crest_left,spill_crest_right,spill_left,spill_right,spill_extra,spill_total,cumulative_spill,cumulative_lateral_inflow,q_after_row
drain,1,0.0,616073.135,3096615.242,631.5,2.05,0.0,Normal,0.0,0.0,0.0,0.0,0.05,0.1025,2.15,0.04767441860465116,0.0,631.55,631.55,0.0,0.0,0.0025625,0.0,True,0,0.0,False,32.090973061509786,65.78649477609505,66.23194612301957,0.9932743732745354,0.0,663.5909730615098,663.5909730615098,0.0,0.0,1055.5763158354102,0.0,True,1,0.0,False,32.090973061509786,663.5909730615098,663.5909730615098,0.0,0.0,1055.5763158354102,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drain,2,0.9999449985875535,616073.556,3096614.335,631.5,2.332,0.0,Normal,0.0,0.9999449985875535,0.0,0.0,0.05,0.1166,2.432,0.04794407894736842,0.0,631.55,631.55,0.0,0.0,0.002915,0.0,True,1,0.0,False,32.090973061509786,74.83614917944081,66.51394612301956,1.1251196710089801,0.0,663.5909730615098,663.5909730615098,0.0,0.0,1200.7824236722813,0.0007468870301181596,True,1,6.785179064171517e-05,False,32.090973061509786,663.5909730615098,663.5909730615098,0.0,0.0,1200.7824236722813,Subcritical,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drain,3,1.999889997175107,616073.977,3096613.428,631.5,2.614,0.0,Normal,0.051951114698567835,0.9999449985875535,9.674548171981957,9.674548171981957,1.0547738693467337,2.7571788944723616,4.723547738693467,0.5837093318411125,3.508857619423119,632.5547738693467,633.1823009740044,0.005678737948054035,1.0908161550005915,4.914509102844887,-1.6979472318292892,False,250,0.06280704502008554,True,32.090973061509786,83.88580358278658,66.79594612301958,1.2558517163345846,0.11532998146026202,663.5909730615098,663.5916509924284,2.2087631320417786e-06,0.006500043686765384,1346.1022690689192,0.0008808939636537616,True,5,0.00015319547097153755,False,32.090973061509786,663.5909730615098,663.5916509924284,2.2087631320417786e-06,0.006500043686765384,1346.1022690689192,Subcritical,,,0.0,0.0,0.0,0.0,0.0,9.674548171981957,9.674548171981957
drain,4,3.0002564297364893,616074.399,3096612.521,631.5,2.897,0.0,Normal,0.051951114698567835,1.0003664325613824,19.349374457759183,9.674826285777227,2.0,5.794,6.897,0.8400753950993185,3.339553755222503,633.5,634.0684311561682,0.003165689933712991,0.7539437354128175,12.380980237677477,-0.9083371356490488,False,250,0.017783119101151715,True,32.09016645719553,92.96521222649544,67.07733291439106,1.38594079679859,0.20813564552100852,663.5901664571956,663.5923744310455,6.307867199219487e-06,0.011730755301066157,1492.0450970534803,0.0009399758095014477,True,6,0.000191815843333448,False,32.09016645719553,663.5901664571956,663.5923744310455,6.307867199219487e-06,0.011730755301066157,1492.0450970534803,Subcritical,,,0.0,0.0,0.0,0.0,0.0,19.349374457759183,19.349374457759183
drain,5,4.000201428324043,616074.82,3096611.614,631.5,3.179,0.0,Normal,6.050470346963266e-09,0.9999449985875533,29.02469233244524,9.67531787468606,2.059547738693467,6.547302261306531,7.2980954773869335,0.8971247747570956,4.433076582392775,633.5595477386935,634.5611872894253,0.0051104112711459196,0.9862449642032801,19.858314574449846,-0.5402147957273655,False,250,0.04332083946646396,True,32.088988068737265,102.01089307051576,67.35697613747453,1.5144814823978014,0.284525421342814,663.5889880687373,663.5931142010202,1.0473038779463483e-05,0.01603646203958757,1637.554986188716,0.0008609514447925903,True,7,0.00020687044413246776,False,32.088988068737265,663.5889880687373,663.5931142010202,1.0473038779463483e-05,0.01603646203958757,1637.554986188716,Subcritical,,,0.0,0.0,0.0,0.0,0.0,29.02469233244524,29.02469233244524
drain,6,5.00014642696061,616075.241,3096610.707,631.5,3.461,0.0,Normal,0.051951091351895684,0.9999449986365674,38.700348775073465,9.675656442628227,2.059547738693467,7.128094723618089,7.580095477386934,0.9403700447946519,5.429269710297829,633.5595477386935,635.0619417033804,0.007198913738975688,1.2078721879856336,28.758738669571297,-0.5571142643509575,False,250,0.0502055264056826,True,32.08756651585746,111.05506771138266,67.63613303171492,1.6419488035974557,0.34847890846053525,663.5875665158575,663.5937559934131,1.4105528566929993e-05,0.0196414525920511,1783.1181817541042,0.0008667836588074351,True,5,0.0002104543797243763,False,32.08756651585746,663.5875665158575,663.5937559934131,1.4105528566929993e-05,0.0196414525920511,1783.1181817541042,Subcritical,,,0.0,0.0,0.0,0.0,0.0,38.700348775073465,38.700348775073465
drain,7,6.000512859895083,616075.663,3096609.8,631.5,3.898,0.0,Normal,5.266044029917168,1.0003664329344728,48.376220235629724,9.675871460556257,2.059547738693467,8.028117085427136,8.017095477386935,1.00137476322582,6.0258488660365455,633.5595477386935,635.4102538832559,0.00815499060957166,1.3405956312107845,37.98251643316139,-0.4070663298649606,False,250,0.05107438472705185,True,32.086772974693396,125.07424105535486,68.07154594938679,1.8373938671578176,0.38678004221684276,663.5867729746934,663.5943977861642,1.4956877881197514e-05,0.021800503898063393,2008.5217238784269,0.0008835371039594975,True,6,0.00042384153045110106,False,32.086772974693396,663.5867729746934,663.5943977861642,1.4956877881197514e-05,0.021800503898063393,2008.5217238784269,Subcritical,,,0.0,0.0,0.0,0.0,0.0,48.376220235629724,48.376220235629724
drain,8,6.98611318443741,616075.995,3096608.872,631.5,4.264,0.0,Normal,17.56613035245408,0.985600324542327,58.05220613606057,9.675985900430845,3.0643216080402005,13.066267336683415,10.392643216080401,1.2572612246003163,4.442906657288389,634.5643216080402,635.5704082321676,0.0032730265945051457,0.8103367095340083,46.3112162575315,-0.4733548427406049,False,250,0.3075687650963107,True,32.085665580793815,136.81327803650484,68.43533116158763,1.9991614815666645,0.42431704706739753,663.5856655807938,663.5948421840778,1.6085441200764632e-05,0.023916655615231458,2197.383505398777,0.0008870150317079606,True,5,0.0001539108738820968,False,32.085665580793815,663.5856655807938,663.5948421840778,1.6085441200764632e-05,0.023916655615231458,2197.383505398777,Subcritical,,,0.0,0.0,0.0,0.0,0.0,58.05220613606057,58.05220613606057
drain,9,7.986797450327919,616076.032,3096607.872,631.5,4.606,0.0,Normal,0.05939158549995227,1.0006842658905093,67.72814407171016,9.675937935649598,3.0643216080402005,14.114265326633163,10.7346432160804,1.314833203351381,4.798559649003433,634.5643216080402,635.737928881488,0.0035967487103332656,0.8752038555879363,54.754533004422115,-0.18782612294251066,False,250,0.016868235593248338,True,32.08485359705875,147.78283566805263,68.7757071941175,2.1487650465147485,0.4582950636015674,663.5848535970588,663.5955587125186,1.7043324090088665e-05,0.025832155405649773,2373.9593879214412,0.0009353395747666582,True,8,0.00026342337941679013,False,32.08485359705875,663.5848535970588,663.5955587125186,1.7043324090088665e-05,0.025832155405649773,2373.9593879214412,Subcritical,,,0.0,0.0,0.0,0.0,0.0,67.72814407171016,67.72814407171016
drain,10,8.986519911648116,616076.07,3096606.873,631.5,4.716,0.0,Normal,5.652736945194192e-09,0.9997224613201974,77.40408200735976,9.675937935649598,3.0643216080402005,14.451340703517586,10.844643216080401,1.3325787133401665,5.3561869168664,634.5643216080402,636.0265406849215,0.004401865867647262,0.9769088609463653,64.40382991785872,-0.32147118111720374,False,250,0.028861180357133885,True,32.08287245135692,151.30282648059924,68.88174490271383,2.1965591419656114,0.511583846831076,663.5828724513569,663.5962118006097,2.062333817230333e-05,0.02883670915597671,2431.1512042441254,0.0009925223813525008,True,8,0.0002806770694158688,False,32.08287245135692,663.5828724513569,663.5962118006097,2.062333817230333e-05,0.02883670915597671,2431.1512042441254,Subcritical,,,0.0,0.0,0.0,0.0,0.0,77.40408200735976,77.40408200735976
