outer_iteration,alpha1,alpha2,j1_wse,j2_wse,err_j1,err_j2,q_waterway,q_usexit,q_forebay,q_sidechannel,spill_forebay_to_drain,spill_sidechannel_to_drain,spill_to_drain_total,q_drain_out,max_qout_change
0,1.0,0.8114754434145437,35478.20566024257,-15734.283710429936,34841.27904883019,34841.27904883018,51.0,0.0,41.385247614141726,9.614752385858274,0.14434218069877533,249.98356203231515,250.1279042130139,250.12790421301384,250.12790421301384
1,1.0,0.8104067032968145,35479.84710265116,-15731.481974657368,34842.50236032822,34842.5023603282,51.0,0.0,41.330741868137544,9.669258131862456,0.1440449822852146,251.40071142842385,251.54475641070908,251.54475641070914,1.416852197695306
2,1.0,0.8103916305063924,35479.87047905303,-15731.442153725362,34842.51970498353,34842.519704983526,51.0,0.0,41.32997315582601,9.67002684417399,0.14404079511407905,251.42069794852375,251.5647387436378,251.56473874363786,0.01998233292871987
3,1.0,0.8103914184393902,35479.87080799317,-15731.441593402558,34842.519949032794,34842.51994903278,51.0,0.0,41.329962340408905,9.670037659591095,0.14404073620222077,251.42097914936846,251.5650198855707,251.56501988557076,0.0002811419329020737
4,1.0,0.8103914154558091,35479.870812621055,-15731.441585519338,34842.519952466326,34842.51995246632,51.0,0.0,41.32996218824626,9.670037811753737,0.14404073537433149,251.42098310559714,251.5650238409715,251.56502384097143,3.95540067188449e-06
