iteration,alpha1,alpha2,j1_wse,j2_wse,q_total,q_waterway,q_usexit,q_forebay,q_sidechannel,ws_inlet,ws_usexit,ws_forebay,ws_sidechannel,j1_from_usproject,j1_from_waterway,j1_from_usexit,j2_from_waterway,j2_from_forebay,j2_from_sidechannel,momentum_j1,momentum_j2,err_j1,err_j2,alpha1_next,alpha2_next,j1_next,j2_next
10,1.0,0.8103914171891583,35479.87080993242,-15731.441590099197,51.0,51.0,0.0,41.32996227664707,9.670037723352927,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076051007,,-50573.961540676835,1943.7765514886505,1435.8602209780931,-0.2721494599825817,0.6457339710111528,34842.51995057765,34842.51995057764,1.0,0.8103914170969846,35479.870810075394,-15731.441589855656
11,1.0,0.8103914170969846,35479.870810075394,-15731.441589855656,51.0,51.0,0.0,41.329962271946215,9.670037728053785,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076075361,,-50573.96154053386,1943.7765511910452,1435.8602217550063,-0.27214945998258167,0.6457339708510671,34842.519950678216,34842.51995067821,1.0,0.8103914170095948,35479.870810210945,-15731.441589624754
12,1.0,0.8103914170095948,35479.870810210945,-15731.441589624754,51.0,51.0,0.0,41.329962267489336,9.670037732510664,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.3907609845,,-50573.96154039831,1943.776550908885,1435.8602224915971,-0.27214945998258167,0.6457339706992898,34842.51995077356,34842.51995077356,1.0,0.8103914169267408,35479.87081033946,-15731.441589405837
13,1.0,0.8103914169267408,35479.87081033946,-15731.441589405837,51.0,51.0,0.0,41.32996226326378,9.67003773673622,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076120342,,-50573.9615402698,1943.7765506413705,1435.8602231899565,-0.27214945998258167,0.6457339705553904,34842.51995086396,34842.51995086396,1.0,0.8103914168481869,35479.8708104613,-15731.44158919828
14,1.0,0.8103914168481869,35479.8708104613,-15731.44158919828,51.0,51.0,0.0,41.329962259257535,9.670037740742465,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076141099,,-50573.96154014795,1943.7765503877392,1435.860223852071,-0.2721494599825816,0.6457339704189594,34842.51995094969,34842.519950949674,1.0,0.8103914167737103,35479.87081057683,-15731.4415890015
15,1.0,0.8103914167737103,35479.87081057683,-15731.4415890015,51.0,51.0,0.0,41.32996225545922,9.670037744540778,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076160776,,-50573.961540032426,1943.7765501472716,1435.8602244798199,-0.27214945998258167,0.6457339702896093,34842.51995103093,34842.519951030925,1.0,0.8103914167030991,35479.870810686356,-15731.44158881493
16,1.0,0.8103914167030991,35479.870810686356,-15731.44158881493,51.0,51.0,0.0,41.329962251858056,9.670037748141944,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076179433,,-50573.9615399229,1943.7765499192865,1435.8602250749861,-0.2721494599825817,0.6457339701669732,34842.51995110798,34842.51995110797,1.0,0.8103914166361528,35479.8708107902,-15731.441588638045
17,1.0,0.8103914166361528,35479.8708107902,-15731.441588638045,51.0,51.0,0.0,41.32996224844379,9.670037751556208,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076197123,,-50573.96153981906,1943.7765497031332,1435.860225639263,-0.2721494599825816,0.6457339700507018,34842.51995118103,34842.51995118101,1.0,0.8103914165726811,35479.87081088865,-15731.44158847034
18,1.0,0.8103914165726811,35479.87081088865,-15731.44158847034,51.0,51.0,0.0,41.32996224520674,9.670037754793263,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076213892,,-50573.96153972061,1943.776549498199,1435.8602261742526,-0.2721494599825817,0.6457339699404653,34842.51995125027,34842.519951250266,1.0,0.8103914165125037,35479.87081098199,-15731.44158831134
19,1.0,0.8103914165125037,35479.87081098199,-15731.44158831134,51.0,51.0,0.0,41.32996224213769,9.67003775786231,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076229793,,-50573.961539627264,1943.776549303901,1435.860226681476,-0.2721494599825817,0.64573396983595,34842.51995131594,34842.519951315924,1.0,0.8103914164554495,35479.87081107049,-15731.441588160591
20,1.0,0.8103914164554495,35479.87081107049,-15731.441588160591,51.0,51.0,0.0,41.329962239227925,9.670037760772075,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076244867,,-50573.96153953877,1943.7765491196865,1435.8602271623743,-0.27214945998258167,0.6457339697368591,34842.519951378184,34842.51995137818,1.0,0.8103914164013567,35479.8708111544,-15731.441588017666
21,1.0,0.8103914164013567,35479.8708111544,-15731.441588017666,51.0,51.0,0.0,41.32996223646919,9.670037763530807,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.3907625916,,-50573.96153945486,1943.776548945035,1435.8602276183112,-0.27214945998258167,0.6457339696429117,34842.51995143721,34842.51995143719,1.0,0.8103914163500713,35479.870811233945,-15731.44158788216
22,1.0,0.8103914163500713,35479.870811233945,-15731.44158788216,51.0,51.0,0.0,41.329962233853635,9.670037766146365,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076272711,,-50573.96153937531,1943.7765487794463,1435.8602280505859,-0.27214945998258167,0.6457339695538399,34842.51995149317,34842.51995149315,1.0,0.8103914163014477,35479.87081130937,-15731.441587753687
23,1.0,0.8103914163014477,35479.87081130937,-15731.441587753687,51.0,51.0,0.0,41.329962231373834,9.670037768626166,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076285558,,-50573.96153929989,1943.7765486224534,1435.8602284604237,-0.27214945998258167,0.6457339694693913,34842.51995154621,34842.5199515462,1.0,0.8103914162553478,35479.870811380875,-15731.441587631882
24,1.0,0.8103914162553478,35479.870811380875,-15731.441587631882,51.0,51.0,0.0,41.32996222902274,9.67003777097726,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076297739,,-50573.96153922838,1943.7765484736078,1435.86022884899,-0.2721494599825816,0.6457339693893258,34842.519951596514,34842.5199515965,1.0,0.8103914162116406,35479.87081144867,-15731.441587516398
25,1.0,0.8103914162116406,35479.87081144867,-15731.441587516398,51.0,51.0,0.0,41.32996222679367,9.670037773206332,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076309287,,-50573.961539160584,1943.7765483324883,1435.8602292173898,-0.2721494599825817,0.6457339693134156,34842.5199516442,34842.519951644186,1.0,0.8103914161702018,35479.87081151295,-15731.441587406907
26,1.0,0.8103914161702018,35479.87081151295,-15731.441587406907,51.0,51.0,0.0,41.329962224680294,9.670037775319706,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076320236,,-50573.96153909631,1943.776548198693,1435.860229566668,-0.27214945998258167,0.6457339692414455,34842.51995168941,34842.5199516894,1.0,0.8103914161309138,35479.870811573885,-15731.441587303101
27,1.0,0.8103914161309138,35479.870811573885,-15731.441587303101,51.0,51.0,0.0,41.329962222676606,9.670037777323394,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076330616,,-50573.96153903537,1943.776548071842,1435.860229897819,-0.2721494599825816,0.6457339691732108,34842.519951732276,34842.51995173227,1.0,0.8103914160936649,35479.87081163166,-15731.441587204681
28,1.0,0.8103914160936649,35479.87081163166,-15731.441587204681,51.0,51.0,0.0,41.32996222077691,9.670037779223087,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076340459,,-50573.96153897759,1943.776547951574,1435.8602302117818,-0.27214945998258167,0.6457339691085174,34842.51995177293,34842.51995177291,1.0,0.8103914160583493,35479.87081168644,-15731.44158711137
29,1.0,0.8103914160583493,35479.87081168644,-15731.44158711137,51.0,51.0,0.0,41.329962218975815,9.670037781024185,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.3907634979,,-50573.96153892281,1943.7765478375486,1435.86023050945,-0.27214945998258167,0.6457339690471818,34842.51995181145,34842.51995181144,1.0,0.8103914160248666,35479.87081173838,-15731.441587022902
30,1.0,0.8103914160248666,35479.87081173838,-15731.441587022902,51.0,51.0,0.0,41.329962217268196,9.670037782731804,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076358636,,-50573.96153887088,1943.7765477294417,1435.8602307916688,-0.2721494599825816,0.6457339689890296,34842.51995184798,34842.51995184798,1.0,0.8103914159931218,35479.870811787616,-15731.441586939027
31,1.0,0.8103914159931218,35479.870811787616,-15731.441586939027,51.0,51.0,0.0,41.32996221564921,9.67003778435079,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076367024,,-50573.96153882164,1943.776547626945,1435.8602310592398,-0.27214945998258167,0.6457339689338958,34842.51995188262,34842.51995188261,1.0,0.8103914159630246,35479.8708118343,-15731.441586859502
32,1.0,0.8103914159630246,35479.8708118343,-15731.441586859502,51.0,51.0,0.0,41.32996221411425,9.670037785885746,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076374976,,-50573.96153877496,1943.7765475297692,1435.8602313129227,-0.2721494599825817,0.6457339688816234,34842.51995191546,34842.519951915456,1.0,0.8103914159344894,35479.87081187856,-15731.441586784107
33,1.0,0.8103914159344894,35479.87081187856,-15731.441586784107,51.0,51.0,0.0,41.329962212658955,9.670037787341045,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076382515,,-50573.9615387307,1943.7765474376358,1435.8602315534406,-0.27214945998258167,0.6457339688320638,34842.5199519466,34842.51995194659,1.0,0.8103914159074352,35479.870811920526,-15731.441586712626
34,1.0,0.8103914159074352,35479.870811920526,-15731.441586712626,51.0,51.0,0.0,41.329962211279195,9.670037788720805,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076389663,,-50573.96153868873,1943.776547350285,1435.8602317814746,-0.2721494599825817,0.6457339687850767,34842.51995197611,34842.51995197611,1.0,0.8103914158817853,35479.87081196031,-15731.441586644853
35,1.0,0.8103914158817853,35479.87081196031,-15731.441586644853,51.0,51.0,0.0,41.32996220997105,9.67003779002895,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076396442,,-50573.961538648946,1943.7765472674675,1435.8602319976721,-0.2721494599825817,0.6457339687405282,34842.519952004106,34842.51995200409,1.0,0.8103914158574667,35479.87081199804,-15731.441586580599
36,1.0,0.8103914158574667,35479.87081199804,-15731.441586580599,51.0,51.0,0.0,41.3299622087308,9.670037791269202,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076402866,,-50573.96153861122,1943.7765471889486,1435.860232202649,-0.27214945998258167,0.6457339686982919,34842.51995203063,34842.51995203062,1.0,0.8103914158344102,35479.8708120338,-15731.441586519679
37,1.0,0.8103914158344102,35479.8708120338,-15731.441586519679,51.0,51.0,0.0,41.32996220755492,9.670037792445079,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076408959,,-50573.96153857546,1943.7765471145053,1435.8602323969867,-0.27214945998258167,0.645733968658248,34842.519952055794,34842.51995205578,1.0,0.8103914158125504,35479.870812067704,-15731.44158646192
38,1.0,0.8103914158125504,35479.870812067704,-15731.44158646192,51.0,51.0,0.0,41.329962206440065,9.670037793559935,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076414735,,-50573.96153854155,1943.7765470439253,1435.8602325812396,-0.27214945998258167,0.645733968620282,34842.519952079645,34842.51995207963,1.0,0.8103914157918252,35479.87081209985,-15731.44158640716
39,1.0,0.8103914157918252,35479.87081209985,-15731.44158640716,51.0,51.0,0.0,41.32996220538308,9.670037794616917,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076420211,,-50573.96153850941,1943.7765469770086,1435.8602327559272,-0.2721494599825817,0.6457339685842869,34842.51995210226,34842.519952102244,1.0,0.8103914157721755,35479.87081213033,-15731.441586355242
40,1.0,0.8103914157721755,35479.87081213033,-15731.441586355242,51.0,51.0,0.0,41.329962204380955,9.670037795619045,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076425403,,-50573.96153847893,1943.7765469135652,1435.8602329215498,-0.27214945998258167,0.6457339685501599,34842.5199521237,34842.51995212369,1.0,0.8103914157535458,35479.87081215923,-15731.441586306019
41,1.0,0.8103914157535458,35479.87081215923,-15731.441586306019,51.0,51.0,0.0,41.32996220343084,9.670037796569162,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076430324,,-50573.96153845003,1943.7765468534146,1435.8602330785761,-0.27214945998258167,0.6457339685178041,34842.519952144015,34842.51995214401,1.0,0.810391415735883,35479.87081218662,-15731.44158625935
42,1.0,0.810391415735883,35479.87081218662,-15731.44158625935,51.0,51.0,0.0,41.329962202530034,9.670037797469966,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076434991,,-50573.961538422634,1943.7765467963854,1435.8602332274525,-0.2721494599825817,0.6457339684871274,34842.51995216329,34842.51995216328,1.0,0.810391415719137,35479.8708122126,-15731.441586215104
43,1.0,0.810391415719137,35479.8708122126,-15731.441586215104,51.0,51.0,0.0,41.32996220167598,9.670037798324017,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076439416,,-50573.96153839666,1943.776546742316,1435.8602333686017,-0.2721494599825817,0.6457339684580432,34842.51995218157,34842.51995218155,1.0,0.81039141570326,35479.870812237226,-15731.441586173154
44,1.0,0.81039141570326,35479.870812237226,-15731.441586173154,51.0,51.0,0.0,41.32996220086626,9.670037799133738,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076443612,,-50573.96153837203,1943.7765466910535,1435.8602335024248,-0.2721494599825817,0.6457339684304685,34842.51995219889,34842.519952198876,1.0,0.8103914156882072,35479.870812260575,-15731.441586133382
45,1.0,0.8103914156882072,35479.870812260575,-15731.441586133382,51.0,51.0,0.0,41.329962200098564,9.670037799901436,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076447589,,-50573.96153834868,1943.7765466424512,1435.8602336293027,-0.27214945998258167,0.6457339684043247,34842.51995221531,34842.5199522153,1.0,0.8103914156739356,35479.870812282716,-15731.441586095672
46,1.0,0.8103914156739356,35479.870812282716,-15731.441586095672,51.0,51.0,0.0,41.32996219937071,9.670037800629288,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076451359,,-50573.96153832654,1943.776546596372,1435.860233749595,-0.2721494599825817,0.6457339683795381,34842.519952230876,34842.51995223087,1.0,0.8103914156604047,35479.8708123037,-15731.44158605992
47,1.0,0.8103914156604047,35479.8708123037,-15731.44158605992,51.0,51.0,0.0,41.32996219868064,9.67003780131936,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076454935,,-50573.96153830556,1943.7765465526847,1435.8602338636435,-0.2721494599825817,0.6457339683560379,34842.519952245646,34842.51995224564,1.0,0.8103914156475761,35479.8708123236,-15731.441586026025
48,1.0,0.8103914156475761,35479.8708123236,-15731.441586026025,51.0,51.0,0.0,41.32996219802638,9.67003780197362,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076458324,,-50573.96153828566,1943.7765465112634,1435.8602339717736,-0.27214945998258167,0.6457339683337574,34842.51995225964,34842.51995225963,1.0,0.8103914156354133,35479.870812342466,-15731.441585993889
49,1.0,0.8103914156354133,35479.870812342466,-15731.441585993889,51.0,51.0,0.0,41.329962197406076,9.670037802593924,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076461538,,-50573.96153826679,1943.7765464719928,1435.8602340742914,-0.2721494599825817,0.6457339683126332,34842.519952272916,34842.5199522729,1.0,0.8103914156238817,35479.87081236035,-15731.44158596342
50,1.0,0.8103914156238817,35479.87081236035,-15731.44158596342,51.0,51.0,0.0,41.32996219681797,9.670037803182034,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076464585,,-50573.96153824891,1943.7765464347606,1435.8602341714889,-0.27214945998258167,0.6457339682926054,34842.519952285504,34842.51995228549,1.0,0.8103914156129487,35479.87081237731,-15731.441585934532
51,1.0,0.8103914156129487,35479.87081237731,-15731.441585934532,51.0,51.0,0.0,41.32996219626038,9.670037803739618,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076467474,,-50573.961538231946,1943.7765463994606,1435.8602342636407,-0.27214945998258167,0.6457339682736172,34842.51995229743,34842.519952297414,1.0,0.8103914156025831,35479.87081239339,-15731.441585907143
52,1.0,0.8103914156025831,35479.87081239339,-15731.441585907143,51.0,51.0,0.0,41.32996219573174,9.670037804268262,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076470213,,-50573.961538215866,1943.776546365993,1435.8602343510097,-0.2721494599825817,0.6457339682556142,34842.519952308736,34842.51995230872,1.0,0.8103914155927555,35479.87081240863,-15731.441585881177
53,1.0,0.8103914155927555,35479.87081240863,-15731.441585881177,51.0,51.0,0.0,41.32996219523053,9.670037804769471,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076472809,,-50573.96153820062,1943.7765463342623,1435.8602344338453,-0.27214945998258167,0.6457339682385458,34842.51995231945,34842.519952319446,1.0,0.810391415583438,35479.87081242308,-15731.441585856559
54,1.0,0.810391415583438,35479.87081242308,-15731.441585856559,51.0,51.0,0.0,41.32996219475534,9.670037805244661,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076475271,,-50573.96153818617,1943.776546304178,1435.86023451238,-0.27214945998258167,0.6457339682223635,34842.519952329625,34842.51995232962,1.0,0.810391415574604,35479.870812436784,-15731.441585833218
55,1.0,0.810391415574604,35479.870812436784,-15731.441585833218,51.0,51.0,0.0,41.329962194304805,9.670037805695195,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076477605,,-50573.96153817247,1943.7765462756558,1435.8602345868399,-0.27214945998258167,0.6457339682070207,34842.519952339266,34842.51995233925,1.0,0.8103914155662286,35479.87081244978,-15731.44158581109
56,1.0,0.8103914155662286,35479.87081244978,-15731.44158581109,51.0,51.0,0.0,41.32996219387766,9.670037806122338,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076479818,,-50573.96153815948,1943.776546248614,1435.860234657434,-0.2721494599825817,0.6457339681924745,34842.519952348404,34842.51995234839,1.0,0.8103914155582879,35479.8708124621,-15731.441585790108
57,1.0,0.8103914155582879,35479.8708124621,-15731.441585790108,51.0,51.0,0.0,41.32996219347268,9.670037806527318,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076481915,,-50573.96153814716,1943.7765462229745,1435.8602347243655,-0.27214945998258167,0.6457339681786831,34842.519952357055,34842.51995235705,1.0,0.8103914155507593,35479.870812473775,-15731.441585770215
58,1.0,0.8103914155507593,35479.870812473775,-15731.441585770215,51.0,51.0,0.0,41.329962193088726,9.670037806911274,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076483905,,-50573.96153813548,1943.7765461986664,1435.8602347878223,-0.2721494599825817,0.6457339681656077,34842.51995236527,34842.51995236527,1.0,0.8103914155436215,35479.87081248484,-15731.441585751356
59,1.0,0.8103914155436215,35479.87081248484,-15731.441585751356,51.0,51.0,0.0,41.32996219272469,9.670037807275307,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.3907648579,,-50573.961538124415,1943.77654617562,1435.8602348479858,-0.27214945998258167,0.6457339681532106,34842.51995237306,34842.519952373055,1.0,0.8103914155368541,35479.87081249534,-15731.441585733475
60,1.0,0.8103914155368541,35479.87081249534,-15731.441585733475,51.0,51.0,0.0,41.32996219237956,9.670037807620439,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076487579,,-50573.961538113916,1943.7765461537708,1435.8602349050261,-0.27214945998258167,0.6457339681414572,34842.51995238045,34842.51995238044,1.0,0.810391415530438,35479.870812505294,-15731.441585716522
61,1.0,0.810391415530438,35479.870812505294,-15731.441585716522,51.0,51.0,0.0,41.32996219205234,9.670037807947658,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076489274,,-50573.96153810396,1943.7765461330537,1435.8602349591056,-0.2721494599825816,0.6457339681303139,34842.51995238745,34842.51995238744,1.0,0.8103914155243549,35479.87081251473,-15731.44158570045
62,1.0,0.8103914155243549,35479.87081251473,-15731.44158570045,51.0,51.0,0.0,41.3299621917421,9.670037808257902,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076490882,,-50573.961538094525,1943.7765461134131,1435.8602350103797,-0.27214945998258167,0.6457339681197489,34842.51995239409,34842.519952394076,1.0,0.8103914155185875,35479.87081252368,-15731.44158568521
63,1.0,0.8103914155185875,35479.87081252368,-15731.44158568521,51.0,51.0,0.0,41.32996219144796,9.670037808552038,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076492406,,-50573.961538085576,1943.776546094792,1435.8602350589917,-0.27214945998258167,0.645733968109732,34842.51995240038,34842.51995240037,1.0,0.8103914155131194,35479.87081253216,-15731.441585670762
64,1.0,0.8103914155131194,35479.87081253216,-15731.441585670762,51.0,51.0,0.0,41.329962191169095,9.670037808830905,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076493851,,-50573.9615380771,1943.776546077137,1435.8602351050802,-0.2721494599825817,0.6457339681002354,34842.51995240635,34842.519952406336,1.0,0.8103914155079353,35479.8708125402,-15731.441585657065
65,1.0,0.8103914155079353,35479.8708125402,-15731.441585657065,51.0,51.0,0.0,41.329962190904695,9.670037809095305,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.3907649522,,-50573.96153806906,1943.7765460603985,1435.860235148778,-0.2721494599825817,0.6457339680912313,34842.519952412,34842.519952411996,1.0,0.8103914155030201,35479.87081254782,-15731.44158564408
66,1.0,0.8103914155030201,35479.87081254782,-15731.44158564408,51.0,51.0,0.0,41.32996219065402,9.670037809345978,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076496518,,-50573.961538061434,1943.776546044528,1435.8602351902064,-0.27214945998258167,0.6457339680826948,34842.51995241736,34842.51995241735,1.0,0.81039141549836,35479.87081255505,-15731.441585631766
67,1.0,0.81039141549836,35479.87081255505,-15731.441585631766,51.0,51.0,0.0,41.32996219041636,9.67003780958364,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076497749,,-50573.96153805421,1943.7765460294822,1435.860235229485,-0.27214945998258167,0.6457339680746013,34842.519952422444,34842.519952422444,1.0,0.8103914154939418,35479.8708125619,-15731.441585620092
68,1.0,0.8103914154939418,35479.8708125619,-15731.441585620092,51.0,51.0,0.0,41.32996219019103,9.670037809808967,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076498918,,-50573.961538047355,1943.7765460152173,1435.8602352667249,-0.27214945998258167,0.645733968066928,34842.519952427276,34842.51995242726,1.0,0.8103914154897529,35479.8708125684,-15731.441585609025
69,1.0,0.8103914154897529,35479.8708125684,-15731.441585609025,51.0,51.0,0.0,41.3299621899774,9.670037810022599,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076500024,,-50573.96153804086,1943.7765460016922,1435.8602353020324,-0.2721494599825817,0.6457339680596528,34842.51995243184,34842.51995243183,1.0,0.8103914154857814,35479.87081257456,-15731.441585598532
70,1.0,0.8103914154857814,35479.87081257456,-15731.441585598532,51.0,51.0,0.0,41.329962189774854,9.670037810225146,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076501073,,-50573.961538034695,1943.7765459888687,1435.8602353355072,-0.2721494599825818,0.6457339680527551,34842.51995243617,34842.51995243617,1.0,0.8103914154820161,35479.870812580404,-15731.441585588584
71,1.0,0.8103914154820161,35479.870812580404,-15731.441585588584,51.0,51.0,0.0,41.32996218958282,9.670037810417178,637.0,634.3119999999999,635.5,631.55,637.350860171757,70322.39076502068,,-50573.96153802885,1943.7765459767113,1435.8602353672445,-0.2721494599825818,0.6457339680462155,34842.51995244028,34842.51995244027,1.0,0.8103914154784462,35479.87081258594,-15731.44158557915
